S/N 	 Start (s) 	 Note
1	0	1000Hz
2	0.2	1000Hz
3	0.4	1000Hz
4	0.6	3000Hz
5	1	1000Hz
6	1.2	1000Hz
7	1.4	1000Hz
8	1.6	1000Hz
9	1.8	1000Hz
10	2	3000Hz
11	2.2	1000Hz
12	2.4	1000Hz
13	2.6	1000Hz
14	2.8	1000Hz
15	3	1000Hz
16	3.2	1000Hz
17	3.4	3000Hz
18	3.6	1000Hz
19	3.8	3000Hz
20	4	1000Hz
21	4.2	3000Hz
22	4.4	1000Hz
23	4.6	1000Hz
24	4.8	1000Hz
25	5	1000Hz
26	5.2	3000Hz
27	5.6	1000Hz
28	5.8	1000Hz
29	6	1000Hz
30	6.2	3000Hz
31	6.4	1000Hz
32	6.6	3000Hz
33	7	1000Hz
34	7.2	3000Hz
35	7.4	1000Hz
36	7.6	3000Hz
37	7.8	3000Hz
38	8.2	1000Hz
39	8.4	1000Hz
40	8.6	1000Hz
41	8.8	1000Hz
42	9	3000Hz
43	9.4	1000Hz
44	9.6	3000Hz
45	10	3000Hz
46	10.4	1000Hz
47	10.6	3000Hz
48	11	1000Hz
49	11.2	3000Hz
50	11.6	3000Hz
51	11.8	3000Hz
52	12	1000Hz
53	12.2	1000Hz
54	12.4	1000Hz
55	12.6	1000Hz
56	12.8	1000Hz
57	13	1000Hz
58	13.2	3000Hz
59	13.6	1000Hz
60	13.8	1000Hz
61	14	1000Hz
62	14.2	1000Hz
63	14.4	1000Hz
64	14.6	1000Hz
65	14.8	1000Hz
66	15	1000Hz
67	15.2	1000Hz
68	15.4	1000Hz
69	15.6	1000Hz
70	15.8	3000Hz
71	16.2	1000Hz
72	16.4	1000Hz
73	16.6	1000Hz
74	16.8	1000Hz
75	17	1000Hz
76	17.2	1000Hz
77	17.4	1000Hz
78	17.6	1000Hz
79	17.8	1000Hz
80	18	1000Hz
81	18.2	3000Hz
82	18.6	1000Hz
83	18.8	3000Hz
84	19.2	1000Hz
85	19.4	3000Hz
86	19.8	1000Hz
87	20	1000Hz
88	20.2	1000Hz
89	20.4	1000Hz
90	20.6	1000Hz
91	20.8	1000Hz
92	21	1000Hz
93	21.2	1000Hz
94	21.4	1000Hz
95	21.6	3000Hz
96	22	1000Hz
97	22.2	1000Hz
98	22.4	1000Hz
99	22.6	1000Hz
100	22.8	1000Hz
101	23	1000Hz
102	23.2	3000Hz
103	23.6	1000Hz
104	23.8	1000Hz
105	24	1000Hz
106	24.2	1000Hz
107	24.4	1000Hz
108	24.6	1000Hz
109	24.8	3000Hz
110	25	1000Hz
111	25.2	1000Hz
112	25.4	1000Hz
113	25.6	1000Hz
114	25.8	3000Hz
115	26	1000Hz
116	26.2	1000Hz
117	26.4	1000Hz
118	26.6	1000Hz
119	26.8	3000Hz
120	27.2	1000Hz
121	27.4	1000Hz
122	27.6	1000Hz
123	27.8	1000Hz
124	28	1000Hz
125	28.2	1000Hz
126	28.4	1000Hz
127	28.6	1000Hz
128	28.8	1000Hz
129	29	1000Hz
130	29.2	3000Hz
131	29.6	1000Hz
132	29.8	1000Hz
133	30	1000Hz
134	30.2	3000Hz
135	30.4	3000Hz
136	30.8	1000Hz
137	31	1000Hz
138	31.2	3000Hz
139	31.4	3000Hz
140	31.6	1000Hz
141	31.8	1000Hz
142	32	1000Hz
143	32.2	1000Hz
144	32.4	1000Hz
145	32.6	1000Hz
146	32.8	1000Hz
147	33	1000Hz
148	33.2	3000Hz
149	33.6	1000Hz
150	33.8	1000Hz
151	34	1000Hz
152	34.2	1000Hz
153	34.4	1000Hz
154	34.6	1000Hz
155	34.8	1000Hz
156	35	1000Hz
157	35.2	3000Hz
158	35.4	1000Hz
159	35.6	1000Hz
160	35.8	3000Hz
161	36	1000Hz
162	36.2	1000Hz
163	36.4	1000Hz
164	36.6	1000Hz
165	36.8	1000Hz
166	37	1000Hz
167	37.2	1000Hz
168	37.4	1000Hz
169	37.6	1000Hz
170	37.8	1000Hz
171	38	1000Hz
172	38.2	1000Hz
173	38.4	1000Hz
174	38.6	3000Hz
175	39	3000Hz
176	39.4	1000Hz
177	39.6	1000Hz
178	39.8	3000Hz
179	40.2	1000Hz
180	40.4	1000Hz
181	40.6	1000Hz
182	40.8	1000Hz
183	41	1000Hz
184	41.2	1000Hz
185	41.4	1000Hz
186	41.6	1000Hz
187	41.8	3000Hz
188	42.2	1000Hz
189	42.4	1000Hz
190	42.6	3000Hz
191	43	1000Hz
192	43.2	1000Hz
193	43.4	1000Hz
194	43.6	1000Hz
195	43.8	1000Hz
196	44	1000Hz
197	44.2	1000Hz
198	44.4	1000Hz
199	44.6	1000Hz
200	44.8	3000Hz
201	45	1000Hz
202	45.2	1000Hz
203	45.4	1000Hz
204	45.6	1000Hz
205	45.8	3000Hz
206	46	1000Hz
207	46.2	1000Hz
208	46.4	1000Hz
209	46.6	3000Hz
210	47	1000Hz
211	47.2	1000Hz
212	47.4	1000Hz
213	47.6	1000Hz
214	47.8	1000Hz
215	48	1000Hz
216	48.2	1000Hz
217	48.4	1000Hz
218	48.6	3000Hz
219	49	3000Hz
220	49.4	1000Hz
221	49.6	1000Hz
222	49.8	1000Hz
223	50	1000Hz
224	50.2	3000Hz
225	50.4	3000Hz
226	50.6	1000Hz
227	50.8	1000Hz
228	51	1000Hz
229	51.2	3000Hz
230	51.6	1000Hz
231	51.8	1000Hz
232	52	1000Hz
233	52.2	3000Hz
234	52.4	1000Hz
235	52.6	1000Hz
236	52.8	3000Hz
237	53.2	1000Hz
238	53.4	1000Hz
239	53.6	1000Hz
240	53.8	1000Hz
241	54	3000Hz
242	54.2	1000Hz
243	54.4	1000Hz
244	54.6	1000Hz
245	54.8	3000Hz
246	55.2	3000Hz
247	55.4	1000Hz
248	55.6	1000Hz
249	55.8	1000Hz
250	56	1000Hz
251	56.2	1000Hz
252	56.4	1000Hz
253	56.6	1000Hz
254	56.8	3000Hz
255	57.2	1000Hz
256	57.4	1000Hz
257	57.6	1000Hz
258	57.8	1000Hz
259	58	3000Hz
260	58.2	3000Hz
261	58.6	1000Hz
262	58.8	1000Hz
263	59	1000Hz
264	59.2	1000Hz
265	59.4	1000Hz
266	59.6	1000Hz
267	59.8	3000Hz
268	60	1000Hz
269	60.2	1000Hz
270	60.4	1000Hz
271	60.6	3000Hz
272	60.8	1000Hz
273	61	1000Hz
274	61.2	3000Hz
275	61.6	3000Hz
276	61.8	3000Hz
277	62	3000Hz
278	62.4	1000Hz
279	62.6	1000Hz
280	62.8	3000Hz
281	63	1000Hz
282	63.2	1000Hz
283	63.4	3000Hz
284	63.6	1000Hz
285	63.8	1000Hz
286	64	1000Hz
287	64.2	3000Hz
288	64.6	1000Hz
289	64.8	1000Hz
290	65	1000Hz
291	65.2	1000Hz
292	65.4	1000Hz
293	65.6	1000Hz
294	65.8	1000Hz
295	66	1000Hz
296	66.2	1000Hz
297	66.4	3000Hz
298	66.6	1000Hz
299	66.8	1000Hz
300	67	1000Hz
301	67.2	1000Hz
302	67.4	1000Hz
303	67.6	1000Hz
304	67.8	1000Hz
305	68	1000Hz
306	68.2	1000Hz
307	68.4	1000Hz
308	68.6	1000Hz
