S/N 	 Start (s) 	 Note
1	0	1000Hz
2	0.2	3000Hz
3	0.6	3000Hz
4	1	1000Hz
5	1.2	1000Hz
6	1.4	1000Hz
7	1.6	1000Hz
8	1.8	3000Hz
9	2	3000Hz
10	2.2	1000Hz
11	2.4	1000Hz
12	2.6	1000Hz
13	2.8	1000Hz
14	3	1000Hz
15	3.2	1000Hz
16	3.4	1000Hz
17	3.6	3000Hz
18	4	1000Hz
19	4.2	1000Hz
20	4.4	1000Hz
21	4.6	1000Hz
22	4.8	1000Hz
23	5	1000Hz
24	5.2	1000Hz
25	5.4	1000Hz
26	5.6	1000Hz
27	5.8	1000Hz
28	6	1000Hz
29	6.2	1000Hz
30	6.4	1000Hz
31	6.6	1000Hz
32	6.8	1000Hz
33	7	1000Hz
34	7.2	1000Hz
35	7.4	3000Hz
36	7.6	1000Hz
37	7.8	1000Hz
38	8	1000Hz
39	8.2	1000Hz
40	8.4	1000Hz
41	8.6	3000Hz
42	9	1000Hz
43	9.2	1000Hz
44	9.4	1000Hz
45	9.6	3000Hz
46	9.8	3000Hz
47	10.2	1000Hz
48	10.4	1000Hz
49	10.6	3000Hz
50	10.8	3000Hz
51	11.2	3000Hz
52	11.6	3000Hz
53	12	1000Hz
54	12.2	1000Hz
55	12.4	3000Hz
56	12.8	1000Hz
57	13	1000Hz
58	13.2	1000Hz
59	13.4	3000Hz
60	13.6	3000Hz
61	14	1000Hz
62	14.2	1000Hz
63	14.4	3000Hz
64	14.8	1000Hz
65	15	1000Hz
66	15.2	1000Hz
67	15.4	1000Hz
68	15.6	1000Hz
69	15.8	1000Hz
70	16	3000Hz
71	16.4	1000Hz
72	16.6	1000Hz
73	16.8	1000Hz
74	17	3000Hz
75	17.4	3000Hz
76	17.8	1000Hz
77	18	1000Hz
78	18.2	1000Hz
79	18.4	1000Hz
80	18.6	1000Hz
81	18.8	1000Hz
82	19	1000Hz
83	19.2	1000Hz
84	19.4	1000Hz
85	19.6	1000Hz
86	19.8	1000Hz
87	20	1000Hz
88	20.2	1000Hz
89	20.4	1000Hz
90	20.6	1000Hz
91	20.8	1000Hz
92	21	1000Hz
93	21.2	1000Hz
94	21.4	1000Hz
95	21.6	1000Hz
96	21.8	1000Hz
97	22	1000Hz
98	22.2	1000Hz
99	22.4	1000Hz
100	22.6	1000Hz
101	22.8	3000Hz
102	23.2	1000Hz
103	23.4	1000Hz
104	23.6	3000Hz
105	23.8	1000Hz
106	24	1000Hz
107	24.2	1000Hz
108	24.4	1000Hz
109	24.6	1000Hz
110	24.8	1000Hz
111	25	1000Hz
112	25.2	3000Hz
113	25.4	1000Hz
114	25.6	1000Hz
