S/N 	 Start (s) 	 Note
1	0	3000Hz
2	0.2	1000Hz
3	0.4	1000Hz
4	0.6	1000Hz
5	0.8	1000Hz
6	1	1000Hz
7	1.2	1000Hz
8	1.4	1000Hz
9	1.6	1000Hz
10	1.8	1000Hz
11	2	1000Hz
12	2.2	1000Hz
13	2.4	1000Hz
14	2.6	1000Hz
15	2.8	1000Hz
16	3	1000Hz
17	3.2	1000Hz
18	3.4	1000Hz
19	3.6	1000Hz
20	3.8	1000Hz
21	4	1000Hz
22	4.2	3000Hz
23	4.4	1000Hz
24	4.6	1000Hz
25	4.8	1000Hz
26	5	1000Hz
27	5.2	1000Hz
28	5.4	1000Hz
29	5.6	1000Hz
30	5.8	1000Hz
31	6	1000Hz
32	6.2	1000Hz
33	6.4	1000Hz
34	6.6	1000Hz
35	6.8	1000Hz
36	7	1000Hz
37	7.2	1000Hz
38	7.4	1000Hz
39	7.6	1000Hz
40	7.8	1000Hz
41	8	1000Hz
42	8.2	1000Hz
43	8.4	3000Hz
44	8.8	1000Hz
45	9	1000Hz
46	9.2	3000Hz
47	9.4	1000Hz
48	9.6	1000Hz
49	9.8	1000Hz
50	10	1000Hz
51	10.2	1000Hz
52	10.4	3000Hz
53	10.8	1000Hz
54	11	3000Hz
55	11.2	3000Hz
56	11.4	1000Hz
57	11.6	3000Hz
58	11.8	1000Hz
59	12	1000Hz
60	12.2	1000Hz
61	12.4	1000Hz
62	12.6	3000Hz
63	13	1000Hz
64	13.2	1000Hz
65	13.4	1000Hz
66	13.6	1000Hz
67	13.8	1000Hz
68	14	1000Hz
69	14.2	1000Hz
70	14.4	1000Hz
71	14.6	1000Hz
72	14.8	3000Hz
73	15	1000Hz
74	15.2	3000Hz
75	15.6	1000Hz
76	15.8	1000Hz
77	16	3000Hz
78	16.2	1000Hz
79	16.4	3000Hz
80	16.8	1000Hz
81	17	3000Hz
82	17.2	1000Hz
83	17.4	1000Hz
84	17.6	1000Hz
85	17.8	1000Hz
86	18	3000Hz
87	18.2	3000Hz
88	18.6	1000Hz
89	18.8	3000Hz
90	19.2	1000Hz
91	19.4	3000Hz
92	19.8	1000Hz
93	20	1000Hz
94	20.2	1000Hz
95	20.4	1000Hz
96	20.6	1000Hz
97	20.8	3000Hz
98	21.2	3000Hz
99	21.6	1000Hz
100	21.8	1000Hz
101	22	3000Hz
102	22.2	1000Hz
103	22.4	3000Hz
104	22.6	1000Hz
105	22.8	1000Hz
106	23	3000Hz
107	23.4	1000Hz
108	23.6	1000Hz
109	23.8	1000Hz
110	24	1000Hz
111	24.2	1000Hz
112	24.4	1000Hz
113	24.6	1000Hz
114	24.8	1000Hz
115	25	1000Hz
116	25.2	3000Hz
117	25.4	1000Hz
118	25.6	3000Hz
119	26	3000Hz
120	26.4	1000Hz
121	26.6	1000Hz
122	26.8	1000Hz
123	27	1000Hz
124	27.2	1000Hz
125	27.4	1000Hz
126	27.6	1000Hz
127	27.8	1000Hz
128	28	3000Hz
129	28.2	1000Hz
130	28.4	1000Hz
131	28.6	1000Hz
132	28.8	1000Hz
133	29	1000Hz
134	29.2	1000Hz
135	29.4	3000Hz
136	29.6	3000Hz
137	30	1000Hz
138	30.2	1000Hz
139	30.4	1000Hz
140	30.6	3000Hz
141	31	1000Hz
142	31.2	1000Hz
143	31.4	1000Hz
144	31.6	1000Hz
145	31.8	1000Hz
146	32	1000Hz
147	32.2	1000Hz
148	32.4	1000Hz
149	32.6	1000Hz
150	32.8	1000Hz
151	33	1000Hz
152	33.2	3000Hz
153	33.6	1000Hz
154	33.8	1000Hz
155	34	1000Hz
156	34.2	1000Hz
157	34.4	3000Hz
158	34.8	1000Hz
159	35	1000Hz
160	35.2	1000Hz
161	35.4	3000Hz
162	35.6	1000Hz
163	35.8	1000Hz
164	36	3000Hz
165	36.4	1000Hz
166	36.6	1000Hz
167	36.8	1000Hz
168	37	1000Hz
169	37.2	1000Hz
170	37.4	1000Hz
171	37.6	1000Hz
172	37.8	1000Hz
173	38	3000Hz
174	38.2	3000Hz
175	38.4	3000Hz
176	38.8	1000Hz
177	39	1000Hz
178	39.2	1000Hz
179	39.4	1000Hz
180	39.6	1000Hz
181	39.8	1000Hz
182	40	1000Hz
183	40.2	1000Hz
184	40.4	1000Hz
185	40.6	3000Hz
186	41	1000Hz
187	41.2	3000Hz
188	41.4	1000Hz
189	41.6	1000Hz
190	41.8	1000Hz
191	42	1000Hz
192	42.2	1000Hz
193	42.4	1000Hz
194	42.6	1000Hz
195	42.8	1000Hz
196	43	1000Hz
197	43.2	1000Hz
198	43.4	1000Hz
199	43.6	1000Hz
200	43.8	1000Hz
201	44	3000Hz
202	44.4	1000Hz
203	44.6	1000Hz
204	44.8	1000Hz
205	45	3000Hz
206	45.2	1000Hz
207	45.4	1000Hz
208	45.6	1000Hz
209	45.8	1000Hz
210	46	3000Hz
211	46.2	1000Hz
212	46.4	1000Hz
213	46.6	1000Hz
214	46.8	1000Hz
215	47	1000Hz
216	47.2	1000Hz
217	47.4	1000Hz
218	47.6	1000Hz
219	47.8	1000Hz
220	48	1000Hz
221	48.2	1000Hz
222	48.4	1000Hz
223	48.6	3000Hz
224	48.8	3000Hz
225	49.2	1000Hz
226	49.4	3000Hz
227	49.8	1000Hz
228	50	1000Hz
229	50.2	1000Hz
230	50.4	1000Hz
231	50.6	1000Hz
232	50.8	1000Hz
233	51	1000Hz
234	51.2	1000Hz
235	51.4	1000Hz
236	51.6	3000Hz
237	52	1000Hz
238	52.2	1000Hz
239	52.4	1000Hz
240	52.6	3000Hz
241	52.8	1000Hz
242	53	1000Hz
243	53.2	1000Hz
244	53.4	1000Hz
245	53.6	1000Hz
246	53.8	3000Hz
247	54	1000Hz
248	54.2	1000Hz
249	54.4	3000Hz
250	54.8	1000Hz
251	55	1000Hz
252	55.2	1000Hz
253	55.4	1000Hz
254	55.6	1000Hz
255	55.8	1000Hz
256	56	1000Hz
257	56.2	1000Hz
