S/N 	 Start (s) 	 Note
1	0	1000Hz
2	0.2	1000Hz
3	0.4	1000Hz
4	0.6	1000Hz
5	0.8	1000Hz
6	1	1000Hz
7	1.2	1000Hz
8	1.4	1000Hz
9	1.6	1000Hz
10	1.8	1000Hz
11	2	3000Hz
12	2.2	1000Hz
13	2.4	3000Hz
14	2.6	1000Hz
15	2.8	3000Hz
16	3	1000Hz
17	3.2	1000Hz
18	3.4	1000Hz
19	3.6	1000Hz
20	3.8	1000Hz
21	4	1000Hz
22	4.2	1000Hz
23	4.4	1000Hz
24	4.6	3000Hz
25	5	1000Hz
26	5.2	1000Hz
27	5.4	3000Hz
28	5.8	3000Hz
29	6.2	3000Hz
30	6.4	1000Hz
31	6.6	1000Hz
32	6.8	1000Hz
33	7	1000Hz
34	7.2	3000Hz
35	7.6	1000Hz
36	7.8	3000Hz
37	8.2	1000Hz
38	8.4	1000Hz
39	8.6	1000Hz
40	8.8	3000Hz
41	9	3000Hz
42	9.2	1000Hz
43	9.4	3000Hz
44	9.6	1000Hz
45	9.8	1000Hz
46	10	1000Hz
47	10.2	1000Hz
48	10.4	1000Hz
49	10.6	1000Hz
50	10.8	1000Hz
51	11	1000Hz
52	11.2	1000Hz
53	11.4	1000Hz
54	11.6	1000Hz
55	11.8	1000Hz
56	12	1000Hz
57	12.2	1000Hz
58	12.4	1000Hz
59	12.6	1000Hz
60	12.8	3000Hz
61	13	3000Hz
62	13.4	1000Hz
63	13.6	1000Hz
64	13.8	1000Hz
65	14	3000Hz
66	14.2	1000Hz
67	14.4	1000Hz
68	14.6	1000Hz
69	14.8	1000Hz
70	15	1000Hz
71	15.2	1000Hz
72	15.4	1000Hz
73	15.6	1000Hz
74	15.8	1000Hz
75	16	3000Hz
76	16.4	3000Hz
77	16.6	1000Hz
78	16.8	1000Hz
79	17	1000Hz
80	17.2	1000Hz
81	17.4	1000Hz
82	17.6	1000Hz
83	17.8	1000Hz
84	18	1000Hz
85	18.2	1000Hz
86	18.4	1000Hz
87	18.6	1000Hz
88	18.8	1000Hz
89	19	1000Hz
90	19.2	1000Hz
91	19.4	1000Hz
92	19.6	1000Hz
93	19.8	1000Hz
94	20	1000Hz
95	20.2	1000Hz
96	20.4	1000Hz
97	20.6	1000Hz
98	20.8	1000Hz
99	21	1000Hz
100	21.2	3000Hz
101	21.6	1000Hz
102	21.8	3000Hz
103	22	3000Hz
104	22.2	1000Hz
105	22.4	1000Hz
106	22.6	1000Hz
107	22.8	1000Hz
108	23	1000Hz
109	23.2	1000Hz
110	23.4	1000Hz
111	23.6	1000Hz
112	23.8	1000Hz
113	24	1000Hz
114	24.2	1000Hz
115	24.4	1000Hz
116	24.6	1000Hz
117	24.8	1000Hz
118	25	3000Hz
119	25.4	1000Hz
120	25.6	3000Hz
121	25.8	3000Hz
122	26.2	3000Hz
123	26.6	3000Hz
124	26.8	1000Hz
125	27	3000Hz
126	27.2	1000Hz
127	27.4	1000Hz
128	27.6	1000Hz
129	27.8	1000Hz
130	28	1000Hz
131	28.2	3000Hz
132	28.6	1000Hz
133	28.8	1000Hz
134	29	3000Hz
135	29.2	1000Hz
136	29.4	1000Hz
137	29.6	3000Hz
138	30	1000Hz
139	30.2	1000Hz
140	30.4	3000Hz
141	30.8	1000Hz
142	31	1000Hz
143	31.2	1000Hz
144	31.4	1000Hz
145	31.6	1000Hz
146	31.8	1000Hz
147	32	3000Hz
148	32.4	1000Hz
149	32.6	1000Hz
150	32.8	1000Hz
151	33	1000Hz
152	33.2	1000Hz
153	33.4	1000Hz
154	33.6	1000Hz
155	33.8	1000Hz
156	34	3000Hz
157	34.2	1000Hz
158	34.4	3000Hz
159	34.6	1000Hz
160	34.8	1000Hz
161	35	3000Hz
162	35.2	1000Hz
163	35.4	1000Hz
164	35.6	1000Hz
165	35.8	1000Hz
166	36	3000Hz
167	36.2	1000Hz
168	36.4	3000Hz
169	36.8	1000Hz
170	37	1000Hz
171	37.2	1000Hz
172	37.4	1000Hz
173	37.6	1000Hz
174	37.8	1000Hz
175	38	1000Hz
176	38.2	1000Hz
177	38.4	1000Hz
178	38.6	1000Hz
179	38.8	1000Hz
180	39	1000Hz
181	39.2	1000Hz
182	39.4	1000Hz
183	39.6	1000Hz
184	39.8	1000Hz
185	40	1000Hz
186	40.2	1000Hz
187	40.4	1000Hz
188	40.6	1000Hz
189	40.8	1000Hz
190	41	1000Hz
191	41.2	1000Hz
192	41.4	1000Hz
193	41.6	1000Hz
194	41.8	1000Hz
195	42	1000Hz
196	42.2	3000Hz
197	42.4	1000Hz
198	42.6	1000Hz
199	42.8	1000Hz
200	43	3000Hz
201	43.2	3000Hz
202	43.4	1000Hz
203	43.6	1000Hz
204	43.8	3000Hz
205	44	1000Hz
206	44.2	1000Hz
207	44.4	1000Hz
208	44.6	1000Hz
209	44.8	1000Hz
210	45	1000Hz
211	45.2	1000Hz
212	45.4	1000Hz
213	45.6	1000Hz
214	45.8	1000Hz
215	46	1000Hz
216	46.2	1000Hz
217	46.4	3000Hz
218	46.6	3000Hz
219	47	1000Hz
220	47.2	1000Hz
221	47.4	1000Hz
222	47.6	1000Hz
223	47.8	1000Hz
224	48	3000Hz
225	48.4	1000Hz
226	48.6	1000Hz
227	48.8	1000Hz
228	49	1000Hz
229	49.2	1000Hz
230	49.4	1000Hz
231	49.6	1000Hz
232	49.8	1000Hz
233	50	3000Hz
234	50.2	1000Hz
235	50.4	3000Hz
236	50.6	1000Hz
237	50.8	1000Hz
238	51	1000Hz
239	51.2	1000Hz
240	51.4	3000Hz
241	51.6	1000Hz
242	51.8	1000Hz
243	52	3000Hz
244	52.4	1000Hz
245	52.6	1000Hz
246	52.8	3000Hz
247	53.2	1000Hz
248	53.4	1000Hz
249	53.6	1000Hz
250	53.8	1000Hz
251	54	3000Hz
252	54.2	1000Hz
253	54.4	1000Hz
254	54.6	1000Hz
255	54.8	3000Hz
256	55	1000Hz
257	55.2	1000Hz
258	55.4	1000Hz
259	55.6	1000Hz
260	55.8	1000Hz
261	56	1000Hz
262	56.2	1000Hz
263	56.4	1000Hz
264	56.6	1000Hz
265	56.8	1000Hz
266	57	1000Hz
267	57.2	1000Hz
268	57.4	1000Hz
269	57.6	1000Hz
270	57.8	1000Hz
271	58	1000Hz
272	58.2	3000Hz
273	58.4	1000Hz
274	58.6	1000Hz
275	58.8	1000Hz
276	59	1000Hz
277	59.2	3000Hz
278	59.6	1000Hz
279	59.8	1000Hz
280	60	1000Hz
281	60.2	1000Hz
282	60.4	1000Hz
283	60.6	3000Hz
284	60.8	1000Hz
285	61	1000Hz
286	61.2	1000Hz
287	61.4	1000Hz
288	61.6	1000Hz
289	61.8	1000Hz
290	62	3000Hz
291	62.4	3000Hz
292	62.6	1000Hz
293	62.8	1000Hz
294	63	1000Hz
295	63.2	1000Hz
296	63.4	3000Hz
297	63.6	1000Hz
298	63.8	1000Hz
299	64	3000Hz
300	64.2	1000Hz
301	64.4	3000Hz
302	64.8	3000Hz
303	65	3000Hz
304	65.2	1000Hz
305	65.4	1000Hz
306	65.6	1000Hz
307	65.8	1000Hz
308	66	1000Hz
